site_id,country,n_pares,mediana_ratio,pct_falla_aa,tiene_fallo_critico,axe_color_contrast_violations,axe_color_contrast_passes
U0075,Peru,93,11.351250628453023,12.903225806451612,True,7,77
U0076,Peru,394,5.658212510307861,30.20304568527919,True,0,0
U0077,Nicaragua,84,9.70686521856994,32.142857142857146,True,13,101
U0078,Argentina,77,11.371918428232137,18.181818181818183,True,8,59
U0081,Guatemala,33,6.44157719730058,33.33333333333333,True,3,59
U0083,Costa Rica,76,6.128863930460799,48.68421052631579,True,0,57
U0084,El Salvador,123,12.63465434445799,8.94308943089431,True,0,201
U0085,Panama,39,10.141149112653787,23.076923076923077,True,5,47
U0089,Chile,2,21.0,0.0,False,0,4
U0092,Uruguay,292,4.805400568159598,6.8493150684931505,True,51,170
U0093,El Salvador,35,3.756566746960501,51.42857142857142,True,17,49
U0095,Mexico,7,21.0,0.0,False,0,13
U0096,Colombia,167,7.067947378659045,25.149700598802394,True,43,142
U0098,El Salvador,56,6.702562657537268,48.214285714285715,True,7,51
U0099,Panama,3,17.90028945328983,33.33333333333333,True,2,2
U0101,Chile,209,8.411313291293236,1.4354066985645932,True,69,216
U0102,Dominican Republic,159,14.436491656973844,5.031446540880504,True,4,206
U0103,Peru,222,18.628471042195176,31.08108108108108,True,44,200
U0105,Guatemala,214,12.81096832638275,22.897196261682243,True,1,68
U0106,Brazil,43,8.117848036601066,37.2093023255814,True,11,48
U0107,Peru,174,5.483920259170935,48.275862068965516,True,14,224
U0111,Argentina,45,17.665521910177947,0.0,False,5,70
U0113,Costa Rica,868,13.19811185826915,2.3041474654377883,True,2,498
U0115,Dominican Republic,75,3.783135579635209,60.0,True,7,96
U0116,El Salvador,283,21.0,15.547703180212014,True,27,162
U0117,Guatemala,114,15.737693228362248,4.385964912280701,True,9,151
U0120,Cuba,81,5.74183648145415,28.39506172839506,True,1,13
U0122,Mexico,231,12.63465434445799,13.852813852813853,True,16,178
U0123,Dominican Republic,55,3.728576989258429,60.0,True,0,51
U0124,Chile,126,10.606545732131003,7.936507936507936,True,41,158
U0125,Guatemala,60,12.609640544164764,21.666666666666668,True,1,60
U0128,Ecuador,125,6.418253462704241,8.799999999999999,True,27,82
U0130,El Salvador,52,15.909984431773273,13.461538461538462,True,7,73
U0131,Argentina,97,7.1022227577084,41.23711340206185,True,39,122
U0132,Uruguay,153,7.650508222434876,19.607843137254903,True,14,118
U0133,Brazil,288,13.84475890614937,0.6944444444444444,True,0,0
U0133,Brazil,288,13.84475890614937,0.6944444444444444,True,6,261
U0134,Guatemala,2,4.152388309316638,50.0,True,0,2
U0140,El Salvador,100,9.448926491593529,10.0,True,2,92
